codigo_centro,nombre_centro,tipo_centro,titularidad,municipio,area_territorial,curso,modalidad,nota_media_centro,nota_media_cm,n_presentados,pct_aptos_centro,pct_aptos_cm,nota_media_aptos_centro,nota_media_aptos_cm
28060816,"CIMELPR PRSEC ""padre antonio soler""","CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA",Público,San Lorenzo de El Escorial,Madrid-Oeste,2019-2020,Presencial,7.3,6.51,22,90.91,100,7.89,7.34
28060816,"CIMELPR PRSEC ""padre antonio soler""","CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA",Público,San Lorenzo de El Escorial,Madrid-Oeste,2020-2021,Presencial,5.52,6.51,37,86.49,66.67,7.29,7.42
28060816,"CIMELPR PRSEC ""padre antonio soler""","CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA",Público,San Lorenzo de El Escorial,Madrid-Oeste,2021-2022,Presencial,6.84,6.49,25,100,93.11,7.65,7.41
28060816,"CIMELPR PRSEC ""padre antonio soler""","CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA",Público,San Lorenzo de El Escorial,Madrid-Oeste,2022-2023,Presencial,6.6,6.76,16,93.75,95.04,7.08,7.5
28060816,"CIMELPR PRSEC ""padre antonio soler""","CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA",Público,San Lorenzo de El Escorial,Madrid-Oeste,2023-2024,Presencial,7.08,6.68,20,100,95.03,7.45,7.41
28065711,"CIMPR SEC ""federico moreno torroba""",CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,Público,Madrid,Madrid-Capital,2019-2020,Presencial,7.2,6.51,22,86.36,100,8.09,7.34
28065711,"CIMPR SEC ""federico moreno torroba""",CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,Público,Madrid,Madrid-Capital,2020-2021,Presencial,6.25,6.51,24,95.83,66.67,7.35,7.42
28065711,"CIMPR SEC ""federico moreno torroba""",CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,Público,Madrid,Madrid-Capital,2021-2022,Presencial,6.94,6.49,22,100,93.11,7.73,7.41
28065711,"CIMPR SEC ""federico moreno torroba""",CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,Público,Madrid,Madrid-Capital,2022-2023,Presencial,6.95,6.76,15,100,95.04,7.61,7.5
28065711,"CIMPR SEC ""federico moreno torroba""",CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA,Público,Madrid,Madrid-Capital,2023-2024,Presencial,7.63,6.68,21,95.24,95.03,8.25,7.41
